GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370101031,101.03.1,2.75,7.73,7.28,4.59,4.35,0,9.84,3.76,0,1.72,8.24,6.32,6.06,5.83,0,0
470370101032,101.03.2,2.93,4.25,1.37,3.99,1.29,7.52,3.65,7.11,3.46,12.36,7.49,5.1,1.95,2.8,4.48,1.72
470370101041,101.04.1,6.68,6.43,4.65,7.47,5.05,6.28,6.76,5.9,5.72,3.7,13.68,6.31,3.88,1.61,7.78,1.01
470370101042,101.04.2,2.57,6.38,7.59,1.25,9.94,4.93,4.88,6.05,6,11.9,2.25,9.57,3.03,3.85,4.59,1.75
470370101051,101.05.1,1.98,5.88,1.94,1.92,13.33,7.55,13.08,14.81,27.52,16.36,20.75,11.54,15.75,9.05,13.01,11.11
470370101052,101.05.2,5.09,4.06,14.16,9.07,7.04,12.02,8.99,12.95,9.93,7.92,12.21,7.14,8.51,5.69,7.78,8.21
470370101053,101.05.3,19.05,17.65,16.44,15.38,7.23,11.36,10.75,2.04,11.65,27.78,8.96,10.4,11.76,13.04,12.66,7.69
470370101054,101.05.4,9.66,8.93,4.15,15.5,10.91,13.7,16.18,9.2,5.83,11.11,2.64,2.52,7.23,9.23,13.28,4.26
470370101061,101.06.1,4.8,8.25,9.28,5.71,6.74,5.53,11.98,10.73,9.51,12.5,6.94,10.41,17.19,7.8,7.49,8.8
470370101062,101.06.2,8.32,9.19,8.51,5.28,9.89,19.73,22.99,18.64,16.7,12.15,18.13,13.2,8.55,12.47,7.28,14.96
470370102011,102.01.1,9.64,11.63,26.97,33.7,14.74,21.43,21.78,28.85,23.36,13.64,24.28,24.03,21.43,22.08,24.88,21.13
470370102012,102.01.2,15.27,18.94,7.52,7.46,14.81,18.38,3.65,7.25,17.99,3.57,10.29,19.78,12.7,9.18,0,11.43
470370102013,102.01.3,5.94,5.87,8.23,7.66,12.32,8.44,6.5,12.87,10.92,10.36,8.33,9.39,6.24,8.11,5.54,3.86
470370102021,102.02.1,6.39,7.91,7.84,4.66,1.54,1.52,6.04,5.99,7.42,13.24,8.51,4.11,6.62,1.28,6.21,2.41
470370102022,102.02.2,4.9,7.87,9.11,4.4,5.68,9.62,7.99,0,6.27,4.88,3.49,3.33,3.19,6.12,3.92,2.83
470370102023,102.02.3,9.62,3.85,3.85,5.77,3.85,1.92,5.77,13.46,9.62,5.77,12.77,15.61,6.61,4.74,0,4.35
470370103011,103.01.1,3.03,0.76,3.86,7,11.76,16.61,8.78,8.86,14.62,20.49,5.53,11.42,11.76,9.24,2.75,8
470370103012,103.01.2,3.04,5.5,5.6,7.19,9.54,10.32,15.1,13.05,13.4,14.22,9.88,9.27,9.14,9.86,11.14,7.44
470370103021,103.02.1,8.04,4.89,3.54,5.3,5.71,9.63,3.49,10.43,8.65,3.88,10.07,9.81,11.95,13.6,13.27,7.41
470370103022,103.02.2,8.32,10.37,9.08,8.11,8.49,13.99,10.63,15.17,15.25,19.16,20.11,15.35,6.86,6.4,4.08,3.08
470370103031,103.03.1,21.31,11.36,4.79,4.49,4.53,5.42,7.84,7.45,10.28,7.48,9.72,7.56,7.04,6.75,6.68,8.17
470370103032,103.03.2,5.24,8.09,6.51,6.84,8.77,9.62,8.64,7.72,7.07,6.02,6.14,4.99,4.18,5.26,3.35,2.91
470370103033,103.03.3,6.81,4.97,4.83,7.84,4.58,8.93,7.26,12.75,9.68,6.76,7.81,3.77,6.06,10.55,2.27,7.69
470370104011,104.01.1,10.13,10.94,13.7,10.6,9.69,12.12,13.5,11.45,8.56,5.6,9.59,4.22,7,6.81,6.79,7.56
470370104012,104.01.2,8.94,10.28,10.35,6.51,13.75,13.83,14.25,17.01,24.5,18.92,25.04,22.44,16.31,15.16,11.8,15.46
470370104013,104.01.3,13.3,8.91,16.43,15.76,12.83,14.41,16.78,22.24,16.19,20.93,18.61,19.33,16.55,15.96,10.28,11.18
470370104021,104.02.1,15,18.57,20.41,10.96,12.08,16.06,17.21,12.97,12.31,12.36,14.92,12.5,11.54,8.64,14.31,14.97
470370104022,104.02.2,15.33,24.31,21.71,19.22,18.85,19.81,16.85,13.36,18.11,26.99,22.18,21.68,31.52,18.5,10.98,8.06
470370104023,104.02.3,5.32,6.18,8.12,8.52,6.31,9.52,12.49,17.15,14.72,13.59,17.2,11.89,11.25,12.31,8.92,9.77
470370104024,104.02.4,10.42,5.15,9.57,7.58,10.63,11.76,14.09,18.2,15.02,16.67,11.21,12.19,11.56,7.17,7.74,7.83
470370104025,104.02.5,7.62,8.12,9.27,8.97,8.04,13.06,15.21,10.88,13.03,9.15,11.78,13.55,11.5,6.38,11.23,9.42
470370105011,105.01.1,12.39,15.07,11.95,19.71,15.26,18.39,8.15,12.66,14.59,15.15,10.02,6.79,16.77,13.52,5.87,8.99
470370105012,105.01.2,4.74,4.97,4.9,4.83,3.92,8.02,6.82,6.46,4.52,7.09,4.58,4.23,4.14,4.06,3.26,1.88
470370105013,105.01.3,10.14,7.08,12.11,9.05,5.02,13.01,5.99,12.94,6.95,9.9,6.71,10.22,9.01,0.87,5.1,4.13
470370105014,105.01.4,11.6,6.79,8.83,1.08,4.21,6.17,6.04,7.87,3.85,5.66,6.35,7,5.06,4.89,3.94,1.53
470370105015,105.01.5,4.41,4.19,11.97,3.81,3.64,6.97,11.71,8.04,3.1,5.97,1.41,4.02,1.27,3.64,2.32,3.33
470370105016,105.01.6,9.51,9.06,17.29,6.2,11.89,13.31,27.43,15.85,22.07,11.48,7.75,10.29,6.99,6.67,6.37,8.54
