GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370111001,111.1,3.24,0,4.91,3.29,3.31,6.64,8.35,3.36,0,5.08,3.25,6.25,1.5,1.45,0,0
470370111002,111.2,5.22,4.34,3.51,3.42,3.32,5.82,6.3,3.69,4.19,2.34,1.13,3.27,2.64,2.04,1.98,0.96
470370111003,111.3,0,2.99,8.8,8.62,0,8.29,0,0,0,2.56,0,0,0,0,0,0
470370111004,111.4,0.8,2.4,6.4,4,3.2,5.6,1.6,1.6,2.4,0.8,1.54,0.75,5.05,4.2,2.71,0.66
470370111005,111.5,4.72,4.67,3.09,3.06,1.52,6.01,2.98,5.9,0,4.35,4.19,1.35,2.6,0,2.43,2.35
470370112001,112.1,6.37,3.26,7.81,3.43,4.7,2.41,2.48,5.1,7.87,4.05,2.6,3.75,0,3.49,1.12,0
470370112002,112.2,9.53,5.74,3.84,0,1.93,1.94,1.94,1.95,7.82,0,3.7,1.75,5,3.17,3.03,0
470370112003,112.3,5.88,4.55,4.52,8.33,8.28,5.7,3.14,3.13,7.45,6.79,5.98,5.21,3.37,1.64,3.18,2.58
470370112004,112.4,11.7,5.88,5.92,3.57,9.58,10.84,4.85,3.66,4.91,7.41,4.75,2.29,3.31,4.27,3.1,1
470370112005,112.5,2.89,5.75,6.66,6.62,10.33,10.26,6.49,5.52,8.23,5.45,2.71,1.8,7.14,6.21,8.82,2.63
470370112006,112.6,2.12,2.1,6.21,6.13,8.08,12.97,6.9,5.85,6.74,2.86,11.96,13.35,0.86,5.01,1.62,1.57
470370113001,113.1,9.37,12.82,5.8,9.24,9.2,5.72,3.42,9.07,6.77,7.87,3.28,5.34,11.46,8.14,5.96,4.85
470370113002,113.2,4.65,8.59,8.66,3.97,8,4.03,6.5,8.2,2.48,6.67,6.42,5.41,6.72,7.93,0.7,4.73
470370113003,113.3,9.7,8.15,7.12,8.29,10.03,9.55,5.67,9.71,7.49,5.81,3.4,10.52,6.49,6.34,5.16,4.04
470370113004,113.4,10.43,13.24,15.25,11.82,9.74,3.89,2.16,3.15,6.13,1,2.89,5.62,4.55,7.51,7.31,5.86
470370113005,113.5,6.58,8.08,7.94,11.45,10.74,9.56,2.97,5.84,4.31,6.13,7.14,10.58,5.63,6.52,2.93,1.05
470370113006,113.6,8.59,7.74,9.98,6.09,3.02,9.73,5.94,11.78,6.57,7.25,7.89,2.84,2.81,9.03,6.19,8.84
470370114001,114.1,7.67,7.16,5.88,7.73,6.48,6.39,4.82,4.02,6.13,7.47,8.88,5.58,3.48,4.26,2.94,2.84
470370114002,114.2,5.64,3.91,4.66,4.34,5.11,4.05,2.97,2.25,3.78,6.49,12.52,11.68,13.86,11.54,6.29,2.57
470370114003,114.3,9.72,6.99,8.65,9.42,9.32,6.71,6.64,8.22,3.26,4.03,4.68,5.29,5.86,7.11,3.45,2.01
470370114004,114.4,5.06,2.51,2.49,2.47,4.29,4.87,3.02,3,2.98,3.55,2.27,4.9,3.14,2.02,1.46,1.41
470370114005,114.5,6.2,1.63,7.42,3.02,12.78,25.14,23.21,27.22,21.79,18.18,26.43,41.88,39.83,35.48,8.63,25.95
470370115001,115.1,4.63,5.92,11.36,12.3,2.63,8.88,3.68,1.18,4.59,1.11,2.14,6.19,5.97,2.88,1.86,2.7
470370115002,115.2,3.67,2.7,5.29,6.05,5.94,9.16,2.45,0.8,1.58,3.88,0.74,2.86,4.12,0.66,3.19,1.85
470370115003,115.3,1.12,1.13,3.43,4.63,1.17,4.75,0,2.43,2.47,1.25,2.41,3.49,2.25,0,1.05,3.06
470370115004,115.4,2.35,3.48,5.72,2.25,10.01,16.46,8.66,5.34,9.5,0,4,3.85,4.63,6.25,1.72,0.83
470370116001,116.1,1.11,7.87,6.85,1.16,4.72,3.59,3.65,3.72,2.52,2.56,2.44,2.33,1.12,0,2.06,0.99
470370116002,116.2,4.91,4.9,5.71,7.33,5.69,1.62,4.05,2.43,9.69,5.65,6.98,1.49,2.88,2.08,2.01,0.65
470370116003,116.3,8.81,5.13,5.12,5.12,7.3,2.92,3.64,2.91,3.63,0,4.86,0,7.03,2.46,1.78,1.71
470370116004,116.4,7.38,3.68,0,5.47,7.27,7.25,5.42,0,1.79,5.36,1.69,0,1.54,2.94,1.41,2.7
