GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670005003,"Block Group 3, Census Tract 5, Fayette County, Kentucky",210670005003,747,128,0,11,0,1645,226,62,55,3.77,1551,253,83,72,5.35,1452,233,40,46,2.75,1421,261,36,61,2.53,721,287,0,11,0
1500000US210670007002,"Block Group 2, Census Tract 7, Fayette County, Kentucky",210670007002,799,148,15,25,1.88,1759,244,44,44,2.5,1867,268,30,40,1.61,1844,288,28,36,1.52,1748,264,0,11,0,768,257,80,133,10.42
1500000US210670014001,"Block Group 1, Census Tract 14, Fayette County, Kentucky",210670014001,1142,271,287,204,25.13,636,112,0,11,0,585,118,0,11,0,588,167,0,11,0,697,176,24,27,3.44,599,235,57,64,9.52
1500000US210670017001,"Block Group 1, Census Tract 17, Fayette County, Kentucky",210670017001,479,147,18,29,3.76,1119,186,28,30,2.5,1213,180,29,31,2.39,1316,183,20,33,1.52,1211,170,44,52,3.63,699,223,180,157,25.75
1500000US210670017003,"Block Group 3, Census Tract 17, Fayette County, Kentucky",210670017003,1010,344,0,11,0,954,302,5,9,0.52,1074,333,4,7,0.37,1050,418,2,5,0.19,929,308,2,4,0.22,525,152,8,15,1.52
1500000US210670022001,"Block Group 1, Census Tract 22, Fayette County, Kentucky",210670022001,729,160,59,73,8.09,1400,433,106,119,7.57,1109,306,96,120,8.66,1194,336,87,135,7.29,1024,269,79,120,7.71,2194,351,257,254,11.71
1500000US210670022002,"Block Group 2, Census Tract 22, Fayette County, Kentucky",210670022002,999,154,63,68,6.31,695,167,18,20,2.59,776,177,11,15,1.42,917,217,7,14,0.76,900,198,11,15,1.22,437,125,0,11,0
1500000US210670042041,"Block Group 1, Census Tract 42.04, Fayette County, Kentucky",210670042041,2009,410,103,89,5.13,883,293,23,46,2.6,642,224,0,11,0,558,175,0,11,0,688,226,0,11,0,2719,452,936,327,34.42
1500000US210670027002,"Block Group 2, Census Tract 27, Fayette County, Kentucky",210670027002,1676,260,263,159,15.69,411,231,149,207,36.25,463,262,185,243,39.96,496,321,210,313,42.34,472,266,8,13,1.69,625,370,344,334,55.04
1500000US210670042042,"Block Group 2, Census Tract 42.04, Fayette County, Kentucky",210670042042,1816,384,0,11,0,853,337,0,11,0,863,325,0,11,0,873,280,0,11,0,1311,400,137,215,10.45,2220,568,585,325,26.35
