GEOID,GEOID10,NAME,18TOT,18TOTme,18BLACK,18Bme,2018_PB,17TOT,17TOTme,17BLACK,17Bme,2017_PB,16TOT,16TOTme,16BLACK,16Bme,2016_PB,15TOT,15TOTme,15BLACK,15Bme,2015_PB,14TOT,14TOTme,14BLACK,14Bme,2014_PB,13TOT,13TOTme,13BLACK,13Bme,2013_PB
1500000US210670005003,210670005003,"Block Group 3, Census Tract 5, Fayette County, Kentucky",747,128,0,11,0.00,1583,239,537,146,33.92,1468,258,556,145,37.87,1412,243,428,140,30.31,1385,266,389,140,28.09,721,287,177,188,24.55
1500000US210670007002,210670007002,"Block Group 2, Census Tract 7, Fayette County, Kentucky",784,154,0,11,0.00,1715,242,173,73,10.09,1837,268,160,79,8.71,1816,289,168,103,9.25,1748,264,180,95,10.3,688,237,45,72,6.54
1500000US210670014001,210670014001,"Block Group 1, Census Tract 14, Fayette County, Kentucky",855,227,174,162,20.35,636,112,117,77,18.40,585,118,117,80,20,588,167,90,70,15.31,673,173,70,55,10.4,542,184,55,58,10.15
1500000US210670017001,210670017001,"Block Group 1, Census Tract 17, Fayette County, Kentucky",461,140,0,11,0.00,1091,192,186,68,17.05,1184,187,257,87,21.71,1296,183,283,108,21.84,1167,170,311,113,26.65,519,191,37,38,7.13
1500000US210670017003,210670017003,"Block Group 3, Census Tract 17, Fayette County, Kentucky",1010,344,164,131,16.24,949,302,273,120,28.77,1070,333,594,284,55.51,1048,418,662,363,63.17,927,308,477,270,51.46,517,153,0,11,0
1500000US210670022001,210670022001,"Block Group 1, Census Tract 22, Fayette County, Kentucky",670,122,25,20,3.73,1294,412,523,278,40.42,1013,287,475,236,46.89,1107,302,514,255,46.43,945,238,375,171,39.68,1937,367,1202,298,62.05
1500000US210670022002,210670022002,"Block Group 2, Census Tract 22, Fayette County, Kentucky",936,160,179,103,19.12,677,170,20,22,2.95,765,181,31,24,4.05,910,218,36,25,3.96,889,194,37,25,4.16,437,125,0,11,0
1500000US210670042041,210670042041,"Block Group 1, Census Tract 42.04, Fayette County, Kentucky",1906,413,0,11,0.00,860,290,264,233,30.70,642,224,145,127,22.59,558,175,146,127,26.16,688,226,210,132,30.52,1783,366,1353,336,75.88
1500000US210670027002,210670027002,"Block Group 2, Census Tract 27, Fayette County, Kentucky",1413,211,157,120,11.11,262,128,157,111,59.92,278,114,154,102,55.4,286,111,178,96,62.24,464,266,249,126,53.66,281,165,233,144,82.92
1500000US210670042042,210670042042,"Block Group 2, Census Tract 42.04, Fayette County, Kentucky",1816,384,16,24,0.88,853,337,553,264,64.83,863,325,581,289,67.32,873,280,591,239,67.7,1174,346,902,336,76.83,1635,446,1327,365,81.16
1500000US210670006003,210670006003,"Block Group 3, Census Tract 6, Fayette County, Kentucky",1380,296,0,11,0.00,940,320,576,220,61.28,826,329,512,196,61.99,581,175,502,177,86.4,646,177,536,175,82.97,1830,300,0,11,0
1500000US210670006002,210670006002,"Block Group 2, Census Tract 6, Fayette County, Kentucky",1277,333,0,11,0.00,617,194,302,156,48.95,807,247,422,186,52.29,1003,296,443,195,44.17,794,261,450,219,56.68,2246,274,49,64,2.18
1500000US210670037041,210670037041,"Block Group 1, Census Tract 37.04, Fayette County, Kentucky",1901,323,284,162,14.94,614,155,66,42,10.75,680,199,170,147,25,594,163,140,118,23.57,638,169,157,105,24.61,1087,226,210,182,19.32
1500000US210670037042,210670037042,"Block Group 2, Census Tract 37.04, Fayette County, Kentucky",2028,465,411,323,20.27,1191,142,865,134,72.63,1124,153,780,143,69.4,978,139,756,122,77.3,778,133,546,158,70.18,2390,377,329,138,13.77
1500000US210670038031,210670038031,"Block Group 1, Census Tract 38.03, Fayette County, Kentucky",728,168,67,44,9.20,721,157,84,111,11.65,590,106,11,17,1.86,620,124,17,27,2.74,547,116,38,57,6.95,339,138,59,71,17.4
1500000US210670038032,210670038032,"Block Group 2, Census Tract 38.03, Fayette County, Kentucky",2142,347,1024,365,47.81,1119,255,0,11,0.00,1054,231,0,11,0,1108,249,0,11,0,961,205,0,11,0,2637,527,720,168,27.3
1500000US210670038041,210670038041,"Block Group 1, Census Tract 38.04, Fayette County, Kentucky",1444,469,1191,450,82.48,846,167,0,11,0.00,750,176,0,11,0,722,203,0,11,0,819,187,0,11,0,703,224,9,15,1.28
1500000US210670038042,210670038042,"Block Group 2, Census Tract 38.04, Fayette County, Kentucky",974,363,776,345,79.67,942,214,27,25,2.87,997,231,30,27,3.01,862,190,10,16,1.16,1009,248,10,16,0.99,1455,336,537,340,36.91
1500000US210670039062,210670039062,"Block Group 2, Census Tract 39.06, Fayette County, Kentucky",2487,316,127,75,5.11,1717,503,8,10,0.47,1590,538,11,14,0.69,1434,512,2,4,0.14,1537,556,4,7,0.26,1254,338,754,259,60.13
1500000US210670039081,210670039081,"Block Group 1, Census Tract 39.08, Fayette County, Kentucky",1188,277,47,43,3.96,1123,267,0,11,0.00,1164,248,0,11,0,1364,323,0,11,0,1547,319,0,11,0,1259,236,304,194,24.15
1500000US210670039083,210670039083,"Block Group 3, Census Tract 39.08, Fayette County, Kentucky",748,269,323,225,43.18,1547,270,0,11,0.00,1777,376,0,11,0,1615,277,0,11,0,1227,252,0,11,0,610,272,383,228,62.79
1500000US210670039091,210670039091,"Block Group 1, Census Tract 39.09, Fayette County, Kentucky",1987,285,420,163,21.14,1374,256,64,66,4.66,1285,280,65,68,5.06,1218,267,31,42,2.55,1355,326,58,57,4.28,2597,435,700,262,26.95
1500000US210670039101,210670039101,"Block Group 1, Census Tract 39.10, Fayette County, Kentucky",2279,387,1051,331,46.12,961,197,6,10,0.62,1017,195,7,11,0.69,1065,171,69,82,6.48,940,172,31,38,3.3,1525,307,115,136,7.54
1500000US210670039111,210670039111,"Block Group 1, Census Tract 39.11, Fayette County, Kentucky",1275,280,342,189,26.82,3313,665,307,95,9.27,3652,449,386,88,10.57,3732,439,381,86,10.21,4148,982,391,122,9.43,2087,454,66,77,3.16
1500000US210670039113,210670039113,"Block Group 3, Census Tract 39.11, Fayette County, Kentucky",766,286,552,281,72.06,3455,793,456,300,13.20,3506,558,430,193,12.26,3030,387,388,170,12.81,3303,475,378,172,11.44,505,201,0,11,0
1500000US210670039121,210670039121,"Block Group 1, Census Tract 39.12, Fayette County, Kentucky",2275,305,711,207,31.25,888,123,46,29,5.18,992,219,71,42,7.16,1046,203,90,42,8.6,1053,211,109,54,10.35,3285,406,483,167,14.7
1500000US210670039142,210670039142,"Block Group 2, Census Tract 39.14, Fayette County, Kentucky",1363,261,79,97,5.80,1288,322,290,172,22.52,1320,309,457,241,34.62,1332,318,321,206,24.1,1076,278,270,194,25.09,653,225,258,183,39.51
1500000US210670039131,210670039131,"Block Group 1, Census Tract 39.13, Fayette County, Kentucky",2051,406,133,125,6.48,3131,616,275,165,8.78,3230,678,277,181,8.58,3278,677,324,182,9.88,2969,594,271,147,9.13,1316,184,164,134,12.46
1500000US210670039132,210670039132,"Block Group 2, Census Tract 39.13, Fayette County, Kentucky",788,176,43,67,5.46,1286,387,79,84,6.14,1326,409,67,80,5.05,1402,366,119,106,8.49,1299,379,132,115,10.16,1313,263,188,149,14.32
1500000US210670039141,210670039141,"Block Group 1, Census Tract 39.14, Fayette County, Kentucky",901,136,554,105,61.49,691,189,383,113,55.43,718,198,378,139,52.65,674,173,368,96,54.6,656,184,389,167,59.3,1537,353,114,151,7.42
1500000US210670039151,210670039151,"Block Group 1, Census Tract 39.15, Fayette County, Kentucky",1952,311,112,95,5.74,866,115,52,39,6.00,885,134,72,49,8.14,798,120,40,33,5.01,783,149,51,44,6.51,0,11,0,11,0
1500000US210670039152,210670039152,"Block Group 2, Census Tract 39.15, Fayette County, Kentucky",1785,330,181,154,10.14,623,263,494,250,79.29,850,337,784,335,92.24,588,275,534,277,90.82,699,295,595,282,85.12,672,208,9,13,1.34
