GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670005003,"Block Group 3, Census Tract 5, Fayette County, Kentucky",210670005003,747,128,730,128,97.72,1583,239,951,191,60.08,1468,258,867,211,59.06,1412,243,926,185,65.58,1385,266,933,228,67.36,721,287,544,283,75.45
1500000US210670007002,"Block Group 2, Census Tract 7, Fayette County, Kentucky",210670007002,784,154,751,155,95.79,1715,242,1459,222,85.07,1837,268,1561,252,84.98,1816,289,1536,266,84.58,1748,264,1448,257,82.84,688,237,643,235,93.46
1500000US210670014001,"Block Group 1, Census Tract 14, Fayette County, Kentucky",210670014001,855,227,643,172,75.2,636,112,506,133,79.56,585,118,442,120,75.56,588,167,465,119,79.08,673,173,566,159,84.1,542,184,487,190,89.85
1500000US210670017001,"Block Group 1, Census Tract 17, Fayette County, Kentucky",210670017001,461,140,448,139,97.18,1091,192,874,172,80.11,1184,187,917,175,77.45,1296,183,1006,177,77.62,1167,170,856,170,73.35,519,191,482,178,92.87
1500000US210670017003,"Block Group 3, Census Tract 17, Fayette County, Kentucky",210670017003,1010,344,835,328,82.67,949,302,446,228,47,1070,333,426,219,39.81,1048,418,356,173,33.97,927,308,412,174,44.44,517,153,501,151,96.91
1500000US210670022001,"Block Group 1, Census Tract 22, Fayette County, Kentucky",210670022001,670,122,645,121,96.27,1294,412,742,287,57.34,1013,287,516,192,50.94,1107,302,573,218,51.76,945,238,553,188,58.52,1937,367,596,154,30.77
1500000US210670022002,"Block Group 2, Census Tract 22, Fayette County, Kentucky",210670022002,936,160,508,96,54.27,677,170,627,159,92.61,765,181,711,170,92.94,910,218,833,211,91.54,889,194,782,195,87.96,437,125,408,130,93.36
1500000US210670042041,"Block Group 1, Census Tract 42.04, Fayette County, Kentucky",210670042041,1906,413,1585,387,83.16,860,290,577,217,67.09,642,224,440,216,68.54,558,175,385,140,69,688,226,454,188,65.99,1783,366,408,237,22.88
1500000US210670027002,"Block Group 2, Census Tract 27, Fayette County, Kentucky",210670027002,1413,211,1093,209,77.35,262,128,105,72,40.08,278,114,124,68,44.6,286,111,108,77,37.76,464,266,215,244,46.34,281,165,27,34,9.61
1500000US210670042042,"Block Group 2, Census Tract 42.04, Fayette County, Kentucky",210670042042,1816,384,1653,371,91.02,853,337,246,170,28.84,863,325,182,97,21.09,873,280,185,104,21.19,1174,346,252,121,21.47,1635,446,254,196,15.54
1500000US210670006003,"Block Group 3, Census Tract 6, Fayette County, Kentucky",210670006003,1380,296,1380,296,100,940,320,320,234,34.04,826,329,282,273,34.14,581,175,75,61,12.91,646,177,107,58,16.56,1830,300,1826,301,99.78
1500000US210670006002,"Block Group 2, Census Tract 6, Fayette County, Kentucky",210670006002,1277,333,1277,333,100,617,194,291,118,47.16,807,247,324,122,40.15,1003,296,480,202,47.86,794,261,259,140,32.62,2246,274,2012,268,89.58
1500000US210670037041,"Block Group 1, Census Tract 37.04, Fayette County, Kentucky",210670037041,1901,323,1568,260,82.48,614,155,501,128,81.6,680,199,448,117,65.88,594,163,440,116,74.07,638,169,473,145,74.14,1087,226,833,186,76.63
1500000US210670037042,"Block Group 2, Census Tract 37.04, Fayette County, Kentucky",210670037042,2028,465,1302,272,64.2,1191,142,253,138,21.24,1124,153,284,107,25.27,978,139,190,80,19.43,778,133,167,87,21.47,2390,377,1677,335,70.17
1500000US210670038031,"Block Group 1, Census Tract 38.03, Fayette County, Kentucky",210670038031,728,168,570,138,78.3,721,157,610,123,84.6,590,106,574,103,97.29,620,124,599,118,96.61,547,116,509,117,93.05,339,138,280,124,82.6
1500000US210670038032,"Block Group 2, Census Tract 38.03, Fayette County, Kentucky",210670038032,2142,347,1074,255,50.14,1119,255,970,202,86.68,1054,231,932,181,88.43,1108,249,1057,240,95.4,961,205,905,209,94.17,2637,527,1570,480,59.54
