"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"1500000US210670005003","Block Group 3, Census Tract 5, Fayette County, Kentucky","747","128","747","128","730","128","0","11","0","11","0","11","0","11","0","11","17","19","0","11","17","19","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670007002","Block Group 2, Census Tract 7, Fayette County, Kentucky","799","148","784","154","751","155","0","11","0","11","16","19","0","11","0","11","17","22","0","11","17","22","15","25","15","25","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670014001","Block Group 1, Census Tract 14, Fayette County, Kentucky","1142","271","855","227","643","172","174","162","4","8","0","11","0","11","0","11","34","41","0","11","34","41","287","204","268","194","0","11","0","11","0","11","0","11","0","11","19","26","0","11","19","26"
"1500000US210670017001","Block Group 1, Census Tract 17, Fayette County, Kentucky","479","147","461","140","448","139","0","11","0","11","0","11","0","11","0","11","13","20","0","11","13","20","18","29","18","29","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670017003","Block Group 3, Census Tract 17, Fayette County, Kentucky","1010","344","1010","344","835","328","164","131","0","11","0","11","0","11","0","11","11","20","0","11","11","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670022001","Block Group 1, Census Tract 22, Fayette County, Kentucky","729","160","670","122","645","121","25","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","59","73","5","9","7","12","0","11","0","11","0","11","0","11","47","71","47","71","0","11"
"1500000US210670022002","Block Group 2, Census Tract 22, Fayette County, Kentucky","999","154","936","160","508","96","179","103","23","35","101","72","80","75","0","11","45","38","0","11","45","38","63","68","7","10","0","11","0","11","0","11","0","11","51","63","5","7","5","7","0","11"
"1500000US210670042041","Block Group 1, Census Tract 42.04, Fayette County, Kentucky","2009","410","1906","413","1585","387","0","11","0","11","255","200","0","11","0","11","66","74","0","11","66","74","103","89","54","59","0","11","0","11","0","11","0","11","0","11","49","73","0","11","49","73"
"1500000US210670027002","Block Group 2, Census Tract 27, Fayette County, Kentucky","1676","260","1413","211","1093","209","157","120","0","11","38","63","0","11","0","11","125","105","0","11","125","105","263","159","213","161","0","11","0","11","0","11","0","11","50","83","0","11","0","11","0","11"
